lag                  	value                
0                    	1                    
1                    	0.839409636131769    
2                    	0.661256780270929    
3                    	0.545026027217133    
4                    	0.436821918214185    
5                    	0.369560679604569    
6                    	0.314930559725139    
7                    	0.25941899718081     
8                    	0.201797558531563    
9                    	0.15045994081557     
10                   	0.0957443431621708   
11                   	0.0401100266677823   
12                   	-0.0165180502261312  
13                   	-0.060847965256231   
14                   	-0.0944000910277024  
15                   	-0.13115242694198    
16                   	-0.153913297373792   
17                   	-0.167775236847511   
18                   	-0.172430942297785   
19                   	-0.177636818781462   
20                   	-0.183936646461469   
21                   	-0.187501624130638   
22                   	-0.193561933366862   
23                   	-0.197871506566298   
24                   	-0.194643767620275   
25                   	-0.19013260505247    
26                   	-0.188193943939753   
27                   	-0.182674915969127   
28                   	-0.177196436971745   
29                   	-0.172528793070283   
30                   	-0.170108658315678   
31                   	-0.170438943341608   
32                   	-0.161178307498683   
33                   	-0.140392807579172   
34                   	-0.112191196516211   
35                   	-0.0772886169497448  
36                   	-0.0378021676479498  
37                   	0.00143711927776725  
38                   	0.0400327657564622   
39                   	0.0871504656129753   
40                   	0.132899720583695    
41                   	0.180280633899725    
42                   	0.228405925352991    
43                   	0.274833960051307    
44                   	0.321710112159368    
45                   	0.372911818663019    
46                   	0.422453217916395    
47                   	0.459985057956522    
48                   	0.475005183352101    
49                   	0.461623140565939    
50                   	0.426392653176394    
51                   	0.379703127344009    
52                   	0.335160594734827    
53                   	0.2837835913398      
54                   	0.227950364532605    
55                   	0.186719778964225    
56                   	0.139925634680217    
57                   	0.0875989410668359   
58                   	0.0410169931260039   
59                   	0.000479052339199092 
60                   	-0.0395679379087553  
61                   	-0.0787723429761892  
62                   	-0.122147350044577   
63                   	-0.15076056783318    
64                   	-0.155959811276953   
65                   	-0.158977729827707   
66                   	-0.15796505314631    
67                   	-0.160649700681664   
68                   	-0.170798042132215   
69                   	-0.183896927875112   
70                   	-0.194928576082947   
71                   	-0.196397969481541   
72                   	-0.198435027585491   
73                   	-0.201562794495199   
74                   	-0.198283988116243   
75                   	-0.193614629505759   
76                   	-0.192616297474047   
77                   	-0.19347711994619    
78                   	-0.193476609994127   
79                   	-0.191519369660202   
80                   	-0.177883043806623   
81                   	-0.160104896205511   
82                   	-0.1331913952282     
83                   	-0.094798087237778   
84                   	-0.0450783031000685  
85                   	0.0035072139406187   
86                   	0.0548790312022371   
87                   	0.102395260906513    
88                   	0.141298804728004    
89                   	0.183640801468501    
90                   	0.2231085180803      
91                   	0.261925570659916    
92                   	0.301618176907898    
93                   	0.344486416849233    
94                   	0.395459725052285    
95                   	0.42935077562211     
96                   	0.429758660159237    
97                   	0.410198568817895    
98                   	0.381807044194399    
99                   	0.346384219962735    
100                  	0.308582929550078    
101                  	0.269460163232122    
102                  	0.219878713403511    
103                  	0.167557756230396    
104                  	0.122032530819712    
105                  	0.0732683023985246   
106                  	0.0247754717273064   
107                  	-0.0189217270118227  
108                  	-0.0551849700546326  
109                  	-0.0872956998782666  
110                  	-0.121477249948987   
111                  	-0.149564381447836   
112                  	-0.162662845656023   
113                  	-0.163397576159179   
114                  	-0.161001462616826   
115                  	-0.1668423651032     
116                  	-0.172268939702254   
117                  	-0.175239574350154   
118                  	-0.184360609499647   
119                  	-0.186487737597382   
120                  	-0.182829975023152   
