peri                	freq                	cycle               	amp                 	phase               
3.10558492390684e-22	0                   	NA                  	4.33053485717363e-13	0                   
895845.324878576    	0.00189709701303731 	3312                	23.2587488717959    	2.80756703506686    
156341.852085193    	0.00379419402607463 	1656                	9.7164464167369     	2.43018031370292    
122513.214110834    	0.00569129103911194 	1104                	8.60124464756227    	6.21028845980316    
587741.900196782    	0.00758838805214926 	828                 	18.8392305150455    	0.637879612263046   
45106.4663413507    	0.00948548506518657 	662.4               	5.21902331019989    	3.52951580593271    
127749.043111431    	0.0113825820782239  	552                 	8.78311687133344    	5.45393525588775    
38878.2178685066    	0.0132796790912612  	473.142857142857    	4.84532606778991    	0.694306016353337   
36586.2567934445    	0.0151767761042985  	414                 	4.70033511971085    	5.40748363123764    
98076.7654049992    	0.0170738731173358  	368                 	7.69578455274353    	0.674769329948522   
175681.763948931    	0.0189709701303731  	331.2               	10.2999039659742    	5.99662356608211    
321944.828460152    	0.0208680671434105  	301.090909090909    	13.9431391120218    	6.08781210047376    
928.797706645278    	0.0227651641564478  	276                 	0.74891133009279    	1.46583005158031    
16581.9705727715    	0.0246622611694851  	254.769230769231    	3.16437470191017    	6.02391167801772    
10212.0081574735    	0.0265593581825224  	236.571428571429    	2.48327839612824    	1.73020295079167    
17648.0753126814    	0.0284564551955597  	220.8               	3.26451379375095    	0.908761245100466   
13361.1510789449    	0.030353552208597   	207                 	2.84048023161979    	1.8238339918462     
83790.2225594875    	0.0322506492216343  	194.823529411765    	7.11322433800469    	4.88963664608006    
177445.277335445    	0.0341477462346717  	184                 	10.3514706805783    	0.711331627279361   
104677.417882784    	0.036044843247709   	174.315789473684    	7.9505346447234     	3.12380457285733    
18701.2179472564    	0.0379419402607463  	165.6               	3.36050680802722    	1.03131154984686    
151825.574792225    	0.0398390372737836  	157.714285714286    	9.57507756531395    	2.46495537055068    
42149.1872650855    	0.0417361342868209  	150.545454545455    	5.04503793531539    	4.36582978214301    
77337.3005434601    	0.0436332312998582  	144                 	6.83383263214124    	0.836985191598819   
21022.4265172109    	0.0455303283128956  	138                 	3.56296253181908    	3.61657099316743    
38358.523466985     	0.0474274253259329  	132.48              	4.81283280215641    	0.48913530733465    
48785.2843746499    	0.0493245223389702  	127.384615384615    	5.42768023990216    	2.5354022965653     
131454.63004115     	0.0512216193520075  	122.666666666667    	8.9095911938899     	3.42497294570433    
85461.8407808313    	0.0531187163650448  	118.285714285714    	7.18382849014816    	1.16539254911233    
67117.6196552927    	0.0550158133780821  	114.206896551724    	6.36631475501796    	2.1566204004597     
48293.0271035808    	0.0569129103911194  	110.4               	5.40022740080667    	1.65424658770849    
609125.6336113      	0.0588100074041568  	106.838709677419    	19.1788813254505    	1.78732733858306    
6915.68417377821    	0.0607071044171941  	103.5               	2.04356007645921    	2.08104940119108    
15279.0356657543    	0.0626042014302314  	100.363636363636    	3.0375106275787     	1.34061480672638    
28088.9314616362    	0.0645012984432687  	97.4117647058823    	4.11848456763386    	1.3522530364346     
