Datetime,value
2013/04/10 12:30:00,2123.05555555556   
2013/04/10 13:00:00,2049.44444444444   
2013/04/10 13:30:00,1935               
2013/04/10 14:00:00,2229.36170212766   
2013/04/10 14:30:00,2419.78723404255   
2013/04/10 15:00:00,2284.85106382979   
2013/04/10 15:30:00,2226               
2013/04/10 16:00:00,2211.5             
2013/04/10 16:30:00,2408.5             
2013/04/10 17:00:00,2006               
2013/04/10 17:30:00,2059.5             
2013/04/10 18:00:00,2011               
2013/04/10 18:30:00,1865               
2013/04/10 19:00:00,1863               
2013/04/10 19:30:00,1873               
2013/04/10 20:00:00,1844               
2013/04/10 20:30:00,2493.25            
2013/04/10 21:00:00,2109.75            
2013/04/10 21:30:00,1914.5             
2013/04/10 22:00:00,2787.8             
2013/04/10 22:30:00,2746.1             
2013/04/10 23:00:00,2610               
2013/04/10 23:30:00,2592.3             
2013/04/11 00:00:00,2253               
2013/04/11 00:30:00,2351               
2013/04/11 01:00:00,2373               
2013/04/11 01:30:00,2289               
2013/04/11 02:00:00,2281               
2013/04/11 02:30:00,2288               
2013/04/11 03:00:00,2198               
2013/04/11 03:30:00,2107               
2013/04/11 04:00:00,1984               
2013/04/11 04:30:00,2044               
2013/04/11 05:00:00,2016               
2013/04/11 05:30:00,2038               
2013/04/11 06:00:00,1921               
2013/04/11 06:30:00,1944               
2013/04/11 07:00:00,1952               
2013/04/11 07:30:00,1986.45454545455   
2013/04/11 08:00:00,2087.38636363636   
2013/04/11 08:30:00,2189.65909090909   
2013/04/11 09:00:00,2198.5             
2013/04/11 09:30:00,2163               
2013/04/11 10:00:00,2260               
2013/04/11 10:30:00,2542.5             
2013/04/11 11:00:00,2357.5             
2013/04/11 11:30:00,2542               
2013/04/11 12:00:00,2440.5             
2013/04/11 12:30:00,2339               
2013/04/11 13:00:00,2368.5             
2013/04/11 13:30:00,2155               
2013/04/11 14:00:00,2134.5             
2013/04/11 14:30:00,2407.5             
2013/04/11 15:00:00,2418.5             
2013/04/11 15:30:00,2516               
2013/04/11 16:00:00,2499.7             
2013/04/11 16:30:00,2366.8             
2013/04/11 17:00:00,2631               
2013/04/11 17:30:00,2400               
2013/04/11 18:00:00,2287               
2013/04/11 18:30:00,2226               
2013/04/11 19:00:00,2239.5             
2013/04/11 19:30:00,2024.5             
2013/04/11 20:00:00,2029               
2013/04/11 20:30:00,2042               
2013/04/11 21:00:00,2053               
2013/04/11 21:30:00,2061               
2013/04/11 22:00:00,2102               
2013/04/11 22:30:00,2277               
2013/04/11 23:00:00,2053               
2013/04/11 23:30:00,2096               
2013/04/12 00:00:00,1993               
2013/04/12 00:30:00,1930               
2013/04/12 01:00:00,1927               
2013/04/12 01:30:00,1894               
2013/04/12 02:00:00,1872               
2013/04/12 02:30:00,1767               
2013/04/12 03:00:00,1824               
2013/04/12 03:30:00,1872               
2013/04/12 04:00:00,1799               
2013/04/12 04:30:00,1760               
2013/04/12 05:00:00,1753               
2013/04/12 05:30:00,1734               
2013/04/12 06:00:00,1904               
2013/04/12 06:30:00,2000               
2013/04/12 07:00:00,2052.5             
2013/04/12 07:30:00,2158               
2013/04/12 08:00:00,2116.5             
2013/04/12 08:30:00,2144               
2013/04/12 09:00:00,2389.5             
2013/04/12 09:30:00,2277.5             
2013/04/12 10:00:00,2411.3             
2013/04/12 10:30:00,2412.2             
2013/04/12 11:00:00,2644               
2013/04/12 11:30:00,2700               
2013/04/12 12:00:00,2529               
2013/04/12 12:30:00,2264.5             
2013/04/12 13:00:00,2168.5             
2013/04/12 13:30:00,2422.33333333333   
2013/04/12 14:00:00,2597.16666666667   
2013/04/12 14:30:00,2402               
2013/04/12 15:00:00,2412.5             
2013/04/12 15:30:00,2216               
2013/04/12 16:00:00,2147               
2013/04/12 16:30:00,1964               
2013/04/12 17:00:00,2304               
2013/04/12 17:30:00,2246               
2013/04/12 18:00:00,2158.5             
2013/04/12 18:30:00,2165               
2013/04/12 19:00:00,2089               
2013/04/12 19:30:00,2036               
2013/04/12 20:00:00,2066               
2013/04/12 20:30:00,2119               
2013/04/12 21:00:00,1996               
2013/04/12 21:30:00,2027               
2013/04/12 22:00:00,2100               
2013/04/12 22:30:00,2270               
2013/04/12 23:00:00,2297               
2013/04/12 23:30:00,2241               
2013/04/13 00:00:00,1935               
2013/04/13 00:30:00,2034               
2013/04/13 01:00:00,2056               
2013/04/13 01:30:00,2049               
2013/04/13 02:00:00,2140               
2013/04/13 02:30:00,2166               
2013/04/13 03:00:00,2159               
2013/04/13 03:30:00,2068               
2013/04/13 04:00:00,2048               
2013/04/13 04:30:00,2006               
2013/04/13 05:00:00,2031               
2013/04/13 05:30:00,2013               
2013/04/13 06:00:00,1933               
2013/04/13 06:30:00,1926               
2013/04/13 07:00:00,2064               
2013/04/13 07:30:00,2062               
2013/04/13 08:00:00,2507.4             
2013/04/13 08:30:00,3175.6             
2013/04/13 09:00:00,2133               
2013/04/13 09:30:00,2199               
2013/04/13 10:00:00,1992               
2013/04/13 10:30:00,2085               
2013/04/13 11:00:00,1963               
2013/04/13 11:30:00,1977.5             
2013/04/13 12:00:00,1944               
2013/04/13 12:30:00,2039.75            
2013/04/13 13:00:00,1909.25            
2013/04/13 13:30:00,1930.5             
2013/04/13 14:00:00,2045               
2013/04/13 14:30:00,1981               
2013/04/13 15:00:00,2040               
2013/04/13 15:30:00,1981               
2013/04/13 16:00:00,1886               
2013/04/13 16:30:00,1861               
2013/04/13 17:00:00,2027.4             
2013/04/13 17:30:00,2009.1             
2013/04/13 18:00:00,2061.5             
2013/04/13 18:30:00,2108.5             
2013/04/13 19:00:00,2056               
2013/04/13 19:30:00,2055               
2013/04/13 20:00:00,2088               
2013/04/13 20:30:00,2107.5             
2013/04/13 21:00:00,2138               
2013/04/13 21:30:00,2155               
2013/04/13 22:00:00,2262               
2013/04/13 22:30:00,2196               
2013/04/13 23:00:00,2182               
2013/04/13 23:30:00,1992               
2013/04/14 00:00:00,1882               
2013/04/14 00:30:00,1956               
2013/04/14 01:00:00,2023               
2013/04/14 01:30:00,1944               
2013/04/14 02:00:00,1953               
2013/04/14 02:30:00,1974               
2013/04/14 03:00:00,1876               
2013/04/14 03:30:00,1875               
2013/04/14 04:00:00,1808               
2013/04/14 04:30:00,1849               
2013/04/14 05:00:00,1850               
2013/04/14 05:30:00,1847               
2013/04/14 06:00:00,1810               
2013/04/14 06:30:00,1860               
2013/04/14 07:00:00,2020               
2013/04/14 07:30:00,1984.77272727273   
2013/04/14 08:00:00,2453.72727272727   
2013/04/14 08:30:00,2228               
2013/04/14 09:00:00,2175               
2013/04/14 09:30:00,2109               
2013/04/14 10:00:00,2193.5             
2013/04/14 10:30:00,1949               
2013/04/14 11:00:00,1866               
2013/04/14 11:30:00,1925               
2013/04/14 12:00:00,1939.46153846154   
2013/04/14 12:30:00,2008.53846153846   
2013/04/14 13:00:00,1914               
2013/04/14 13:30:00,1848.5             
2013/04/14 14:00:00,1770.33333333333   
2013/04/14 14:30:00,1887.16666666667   
2013/04/14 15:00:00,1775               
2013/04/14 15:30:00,1809               
2013/04/14 16:00:00,1748               
2013/04/14 16:30:00,1771               
2013/04/14 17:00:00,2528.5             
2013/04/14 17:30:00,2070               
2013/04/14 18:00:00,2357               
2013/04/14 18:30:00,1874               
2013/04/14 19:00:00,1839               
2013/04/14 19:30:00,2425.5             
2013/04/14 20:00:00,2007               
2013/04/14 20:30:00,2001               
2013/04/14 21:00:00,2085               
2013/04/14 21:30:00,2045               
2013/04/14 22:00:00,2104               
2013/04/14 22:30:00,2366.85714285714   
2013/04/14 23:00:00,2292.14285714286   
2013/04/14 23:30:00,1967               
2013/04/15 00:00:00,2083               
2013/04/15 00:30:00,2066               
2013/04/15 01:00:00,2102               
2013/04/15 01:30:00,2200               
2013/04/15 02:00:00,2193               
2013/04/15 02:30:00,2091               
2013/04/15 03:00:00,2105               
2013/04/15 03:30:00,2023               
2013/04/15 04:00:00,1928               
2013/04/15 04:30:00,1912               
2013/04/15 05:00:00,1908               
2013/04/15 05:30:00,1891               
2013/04/15 06:00:00,1829               
2013/04/15 06:30:00,1880               
2013/04/15 07:00:00,1951               
2013/04/15 07:30:00,2068               
2013/04/15 08:00:00,1969               
2013/04/15 08:30:00,2104.05555555556   
2013/04/15 09:00:00,2218.44444444444   
2013/04/15 09:30:00,2291.5             
